ID,Session_timestamp,Level_timestamp,Event_type,Event,Details,epoch_time,Ruleset,win_or_quit,goals,impasses,time_offset
187,0:2:22:933,0:1:26:083,input,left,,1651511790933.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:100,0:1:26:250,change,update,baba:3:2:2,1651511791100.0,"['wall is stop ', 'baba is you ']",,goal_0,,167
187,0:2:23:100,0:1:26:250,input,left,,1651511791100.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:266,0:1:26:416,change,update,baba:2:2:2,1651511791266.0,"['wall is stop ', 'baba is you ']",,goal_0,,166
187,0:2:23:266,0:1:26:416,input,left,,1651511791266.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:350,0:1:26:500,change,update,baba:2:2:3,1651511791350.0,"['wall is stop ', 'baba is you ']",,goal_0,,84
187,0:2:23:350,0:1:26:500,change,update,baba:2:3:3,1651511791350.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:350,0:1:26:500,input,down,,1651511791350.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:516,0:1:26:666,change,update,baba:2:4:3,1651511791516.0,"['wall is stop ', 'baba is you ']",,goal_0,,166
187,0:2:23:516,0:1:26:666,input,down,,1651511791516.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:683,0:1:26:833,change,update,baba:2:5:3,1651511791683.0,"['wall is stop ', 'baba is you ']",,goal_0,,167
187,0:2:23:683,0:1:26:833,input,down,,1651511791683.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:816,0:1:26:966,change,update,baba:2:5:0,1651511791816.0,"['wall is stop ', 'baba is you ']",,goal_0,,133
187,0:2:23:816,0:1:26:966,change,update,baba:3:5:0,1651511791816.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:816,0:1:26:966,input,right,,1651511791816.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:23:983,0:1:27:133,change,update,baba:4:5:0,1651511791983.0,"['wall is stop ', 'baba is you ']",,goal_0,,167
187,0:2:23:983,0:1:27:133,input,right,,1651511791983.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:150,0:1:27:300,change,update,baba:5:5:0,1651511792150.0,"['wall is stop ', 'baba is you ']",,goal_0,,167
187,0:2:24:150,0:1:27:300,input,right,,1651511792150.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:316,0:1:27:466,change,update,baba:6:5:0,1651511792316.0,"['wall is stop ', 'baba is you ']",,goal_0,,166
187,0:2:24:316,0:1:27:466,input,right,,1651511792316.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:483,0:1:27:633,change,update,baba:7:5:0,1651511792483.0,"['wall is stop ', 'baba is you ']",,goal_0,,167
187,0:2:24:483,0:1:27:633,input,right,,1651511792483.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:866,0:1:28:016,change,update,baba:7:5:1,1651511792866.0,"['wall is stop ', 'baba is you ']",,goal_0,,383
187,0:2:24:866,0:1:28:016,change,update,text_is:7:1:1,1651511792866.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:866,0:1:28:016,change,update,text_you:7:2:1,1651511792866.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:866,0:1:28:016,change,update,text_win:7:3:1,1651511792866.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:866,0:1:28:016,change,update,baba:7:4:1,1651511792866.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:24:866,0:1:28:016,event,rule_remove,5:3:baba is you ,1651511792866.0,['wall is stop '],,goal_0,,0
187,0:2:24:866,0:1:28:016,event,rule_add,5:3:baba is win ,1651511792866.0,"['wall is stop ', 'baba is win ']",,goal_3,,0
187,0:2:24:866,0:1:28:016,event,no_you,,1651511792866.0,"['wall is stop ', 'baba is win ']",,goal_3,impasse_5,0
187,0:2:24:866,0:1:28:016,input,up,,1651511792866.0,"['wall is stop ', 'baba is win ']",,goal_3,,0
187,0:2:26:066,0:1:29:216,input,right,,1651511794066.0,"['wall is stop ', 'baba is win ']",,goal_3,,1200
187,0:2:31:050,0:1:34:200,input,idle,,1651511799050.0,"['wall is stop ', 'baba is win ']",,goal_3,,4984
187,0:2:31:216,0:1:34:366,input,idle,,1651511799216.0,"['wall is stop ', 'baba is win ']",,goal_3,,166
187,0:2:38:966,0:1:42:116,input,end,,1651511806966.0,,quit,goal_0,,7750
234,0:32:9:450,0:0:6:916,change,update,baba:3:5:0,1651523705450.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:9:450,0:0:6:916,input,right,,1651523705450.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:9:616,0:0:7:083,change,update,baba:4:5:0,1651523705616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,166
234,0:32:9:616,0:0:7:083,input,right,,1651523705616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:9:950,0:0:7:416,change,update,baba:5:5:0,1651523705950.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,334
234,0:32:9:950,0:0:7:416,input,right,,1651523705950.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:10:266,0:0:7:733,change,update,baba:6:5:0,1651523706266.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,316
234,0:32:10:266,0:0:7:733,input,right,,1651523706266.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:10:433,0:0:7:900,change,update,baba:7:5:0,1651523706433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,167
234,0:32:10:433,0:0:7:900,input,right,,1651523706433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:10:616,0:0:8:083,change,update,baba:8:5:0,1651523706616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,183
234,0:32:10:616,0:0:8:083,input,right,,1651523706616.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:10:900,0:0:8:366,change,update,baba:9:5:0,1651523706900.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,284
234,0:32:10:900,0:0:8:366,input,right,,1651523706900.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,0
234,0:32:11:216,0:0:8:683,input,right,,1651523707216.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,impasse_1,316
234,0:32:11:783,0:0:9:250,change,update,baba:9:5:1,1651523707783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,567
234,0:32:11:783,0:0:9:250,change,update,baba:9:4:1,1651523707783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:11:783,0:0:9:250,input,up,,1651523707783.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:12:100,0:0:9:566,change,update,baba:9:3:1,1651523708100.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,317
234,0:32:12:100,0:0:9:566,input,up,,1651523708100.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:12:433,0:0:9:900,change,update,baba:9:2:1,1651523708433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,333
234,0:32:12:433,0:0:9:900,input,up,,1651523708433.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:12:766,0:0:10:233,change,update,baba:9:2:0,1651523708766.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,333
234,0:32:12:766,0:0:10:233,change,update,baba:10:2:0,1651523708766.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
234,0:32:12:766,0:0:10:233,input,right,,1651523708766.0,"['baba is you ', 'flag is win ', 'wall is stop ']",,goal_1,,0
